number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
10,-0.46551724137931033,2026-06-22 07:30:09.228054,2026-06-22 07:30:18.081713,0 days 00:00:08.853659,0.8651834476035047,0.2382900342041922,6,57,967,95,0.0028615494462317257,5.358757267475074,0.9538323976412588,COMPLETE
11,-0.5172413793103449,2026-06-22 07:30:18.081713,2026-06-22 07:30:55.463113,0 days 00:00:37.381400,0.8097669715667996,0.01086098407562867,6,49,865,62,0.012098055308424125,1.673134167089904e-08,0.7409481648316648,COMPLETE
12,-0.47413793103448276,2026-06-22 07:30:55.464094,2026-06-22 07:31:19.181211,0 days 00:00:23.717117,0.9035795881028436,0.036930470495517204,6,56,227,46,0.00023057632649263381,9.509719026429713e-06,0.841043072612275,COMPLETE
13,-0.43103448275862066,2026-06-22 07:31:19.181211,2026-06-22 07:31:33.079855,0 days 00:00:13.898644,0.7430137144865211,0.06817779343845316,12,38,828,87,0.026384626312481962,2.242494289712359e-08,0.9590506869109973,COMPLETE
14,-0.47413793103448276,2026-06-22 07:31:33.079855,2026-06-22 07:31:54.403412,0 days 00:00:21.323557,0.9132148031030576,0.0247352062978636,7,67,524,72,0.0003278583999966373,0.02209753057171327,0.6677349544985036,COMPLETE
15,-0.5,2026-06-22 07:31:54.405168,2026-06-22 07:32:35.856430,0 days 00:00:41.451262,0.634585496879791,0.010380836837556022,8,11,307,44,9.675360529760509,2.7877113611683403e-05,0.8449184992167584,COMPLETE
16,-0.4396551724137931,2026-06-22 07:32:35.857413,2026-06-22 07:32:53.571366,0 days 00:00:17.713953,0.7640417830669839,0.04584727462143051,10,39,544,76,0.129081629139546,3.651120066296722e-07,0.6866416129818205,COMPLETE
17,-0.4396551724137931,2026-06-22 07:32:53.571366,2026-06-22 07:33:03.750799,0 days 00:00:10.179433,0.754741559801577,0.126369092684654,5,45,736,105,0.0014561469589187425,0.009965279802927766,0.9991586589503829,COMPLETE
18,-0.5344827586206896,2026-06-22 07:33:03.753215,2026-06-22 07:33:53.449328,0 days 00:00:49.696113,0.8400645411033716,0.01523706911427986,9,64,997,41,0.21956774205104782,5.921966859268471,0.8004140873561105,COMPLETE
19,-0.47413793103448276,2026-06-22 07:33:53.450309,2026-06-22 07:33:59.616537,0 days 00:00:06.166228,0.9304328079976769,0.29123033899917045,11,95,997,21,5.799449092292779e-05,8.150052631433418,0.8898630426456755,COMPLETE
20,-0.49137931034482757,2026-06-22 07:33:59.617539,2026-06-22 07:34:14.182029,0 days 00:00:14.564490,0.8490483200027006,0.0321311679672126,7,66,853,43,1.2722974438529106e-08,1.3618642579127946,0.7909501529161618,COMPLETE
21,-0.5086206896551724,2026-06-22 07:34:14.182029,2026-06-22 07:34:39.958552,0 days 00:00:25.776523,0.7927604807584495,0.015910698770461782,9,32,725,53,0.20544207009482063,0.04096658002513833,0.710100762745815,COMPLETE
22,-0.5,2026-06-22 07:34:39.959582,2026-06-22 07:35:13.332071,0 days 00:00:33.372489,0.8693824648073203,0.021083402662169376,9,65,481,37,0.0161938269776464,1.5910474223279023,0.789942336156594,COMPLETE
23,-0.5,2026-06-22 07:35:13.332071,2026-06-22 07:36:30.870784,0 days 00:01:17.538713,0.7072958782974688,0.013344403710575133,8,49,620,72,2.230100874180142,9.096092040849506e-05,0.6221678270431465,COMPLETE
24,-0.5,2026-06-22 07:36:30.871765,2026-06-22 07:36:48.474020,0 days 00:00:17.602255,0.9490826978203384,0.057480148599514246,11,78,291,30,0.28091561287036115,0.07718280958642396,0.9041911261878655,COMPLETE
25,-0.3103448275862069,2026-06-22 07:36:48.474020,2026-06-22 07:36:58.051386,0 days 00:00:09.577366,0.8279739200981544,0.10075746540861169,9,34,923,55,0.06940008776052584,0.0037808240309628676,0.798530374169252,COMPLETE
26,-0.47413793103448276,2026-06-22 07:36:58.053141,2026-06-22 07:37:18.378074,0 days 00:00:20.324933,0.8959010347563757,0.0239385476330232,7,17,784,79,0.0029115018646429275,1.1682158156964979e-07,0.7131604453204495,COMPLETE
27,-0.5086206896551724,2026-06-22 07:37:18.379069,2026-06-22 07:38:23.559756,0 days 00:01:05.180687,0.7291294335054496,0.013822213318435826,11,46,911,60,8.310348469477981,0.0006694282488559843,0.6220104971276119,COMPLETE
28,-0.49137931034482757,2026-06-22 07:38:23.560735,2026-06-22 07:38:35.275294,0 days 00:00:11.714559,0.784346085497571,0.03814335759432875,5,72,680,111,0.5817264325232491,4.601769561330307e-06,0.9512746736107927,COMPLETE
29,-0.5,2026-06-22 07:38:35.275294,2026-06-22 07:38:47.071991,0 days 00:00:11.796697,0.6309348519424279,0.0762988885236786,10,24,453,68,0.8045785191462241,0.0025244715620066035,0.9946112655746745,COMPLETE
30,-0.4827586206896552,2026-06-22 07:38:47.087616,2026-06-22 07:39:02.573199,0 days 00:00:15.485583,0.5615546708760338,0.04859365062366881,8,92,597,48,0.043859558148987815,2.397450091488653,0.9101320728802786,COMPLETE
31,-0.5086206896551724,2026-06-22 07:39:02.575178,2026-06-22 07:39:37.127607,0 days 00:00:34.552429,0.811892550334572,0.010343696979610363,6,52,870,65,0.009184516546778692,2.5711952479754876e-08,0.7166503940372579,COMPLETE
32,-0.46551724137931033,2026-06-22 07:39:37.127607,2026-06-22 07:39:59.352027,0 days 00:00:22.224420,0.8466418332656072,0.013022595075297055,4,59,799,37,0.008238660741605616,1.0460596028917315e-08,0.7510230289488433,COMPLETE
33,-0.5,2026-06-22 07:39:59.353051,2026-06-22 07:40:28.638316,0 days 00:00:29.285265,0.878998983372953,0.01883671132947478,9,27,921,87,0.3308399843311306,7.106148532000184e-08,0.6321594042076835,COMPLETE
34,-0.5172413793103449,2026-06-22 07:40:28.639378,2026-06-22 07:41:06.750849,0 days 00:00:38.111471,0.7785603798251003,0.01149233283240341,7,43,995,80,0.0009079690067530874,1.2091651618186137e-06,0.755525727787601,COMPLETE
